# step Omega_matter_LCDM H0 rs  log(Likelihood) log(Prior)  log(Posterior)
     0  0.2133293900  54.5849728747  162.1735652797  -111.2409460123  -7.3299673613 -118.5709133736
     1  0.2007364911  78.7597486642  135.9485841791  -3.5809933627  -6.8433271999 -10.4243205626
     2  0.3907611678  50.0109539853  150.8699080502  -236.0544226297  -6.2768849886 -242.3313076184
     3  0.4381623348  85.6652989450  158.5784470713  -331.9180171804  -6.8564698969 -338.7744870772
     4  0.3542003986  57.0870475100  162.0397493780  -24.0902069238  -7.3100271614 -31.4002340853
     5  0.1949986676  69.9098121361  141.2955967203  -29.0164379127  -6.3843744850 -35.4008123977
     6  0.2720102457  50.9535143325  138.6814994686  -480.1478114723  -6.5730310276 -486.7208425000
     7  0.4651462828  50.1781014562  148.4416319544  -215.3161636494  -6.2173841827 -221.5335478322
     8  0.2692976682  73.1545457434  164.8260239358  -53.3182628868  -7.7621684114 -61.0804312982
     9  0.2756678105  75.2565715958  140.0234842851  -0.9876012588  -6.4676456717 -7.4552469306
    10  0.2133293900  54.5849728747  162.1735652797  -111.2409460123  -7.3299673613 -118.5709133736
    11  0.2007364911  78.7597486642  135.9485841791  -3.5809933627  -6.8433271999 -10.4243205626
    12  0.3907611678  50.0109539853  150.8699080502  -236.0544226297  -6.2768849886 -242.3313076184
    13  0.4381623348  85.6652989450  158.5784470713  -331.9180171804  -6.8564698969 -338.7744870772
    14  0.3542003986  57.0870475100  162.0397493780  -24.0902069238  -7.3100271614 -31.4002340853
    15  0.1929691276  71.6065469364  138.9840308233  -25.8503951913  -6.5477010645 -32.3980962558
    16  0.2674718701  51.2343712220  140.4983750999  -437.1020214641  -6.4346668357 -443.5366882998
    17  0.4651462828  50.1781014562  148.4416319544  -215.3161636494  -6.2173841827 -221.5335478322
    18  0.2692976682  73.1545457434  164.8260239358  -53.3182628868  -7.7621684114 -61.0804312982
    19  0.2756678105  75.2565715958  140.0234842851  -0.9876012588  -6.4676456717 -7.4552469306
    20  0.2193156418  56.5700311254  160.0465309063  -84.2035485299  -7.0342115430 -91.2377600730
    21  0.2365931480  77.0833839726  137.8985337609  -1.4359951881  -6.6428357263 -8.0788309145
    22  0.4021404793  50.0365239282  150.4984344004  -232.4957653401  -6.2639624145 -238.7597277546
    23  0.4381623348  85.6652989450  158.5784470713  -331.9180171804  -6.8564698969 -338.7744870772
    24  0.3158188584  65.9671103676  151.2796536819  -3.4974277384  -6.2927394486 -9.7901671869
    25  0.1352479189  77.5588333724  135.8066105580  -21.5081070361  -6.8594097466 -28.3675167827
    26  0.2905651906  51.0289612780  142.2132110657  -394.3886219205  -6.3343550064 -400.7229769269
    27  0.4327013487  51.0217136928  149.9732562474  -188.7291863117  -6.2480473817 -194.9772336934
    28  0.2572482002  74.6020646316  154.9050120830  -23.2178250874  -6.5061604563 -29.7239855438
    29  0.2797539971  74.4417408292  140.3619178894  -0.8428813043  -6.4439122106 -7.2867935150
    30  0.1564805432  61.4567100705  175.7737660767  -9.3710615513  -10.2904899214 -19.6615514726
    31  0.2365931480  77.0833839726  137.8985337609  -1.4359951881  -6.6428357263 -8.0788309145
    32  0.4021404793  50.0365239282  150.4984344004  -232.4957653401  -6.2639624145 -238.7597277546
    33  0.3880598907  82.6014417176  157.5611242867  -210.9407693978  -6.7459444211 -217.6867138189
    34  0.3158188584  65.9671103676  151.2796536819  -3.4974277384  -6.2927394486 -9.7901671869
