    0.74557E-05    0.31062E+02
    0.77600E-05    0.32330E+02
    0.80767E-05    0.33649E+02
    0.84063E-05    0.35022E+02
    0.87494E-05    0.36452E+02
    0.91064E-05    0.37939E+02
    0.94781E-05    0.39488E+02
    0.98649E-05    0.41099E+02
    0.10267E-04    0.42776E+02
    0.10686E-04    0.44522E+02
    0.11123E-04    0.46339E+02
    0.11577E-04    0.48230E+02
    0.12049E-04    0.50199E+02
    0.12541E-04    0.52247E+02
    0.13053E-04    0.54379E+02
    0.13585E-04    0.56599E+02
    0.14140E-04    0.58908E+02
    0.14717E-04    0.61312E+02
    0.15317E-04    0.63815E+02
    0.15942E-04    0.66419E+02
    0.16593E-04    0.69130E+02
    0.17270E-04    0.71951E+02
    0.17975E-04    0.74887E+02
    0.18709E-04    0.77943E+02
    0.19472E-04    0.81124E+02
    0.20267E-04    0.84435E+02
    0.21094E-04    0.87880E+02
    0.21955E-04    0.91467E+02
    0.22851E-04    0.95200E+02
    0.23783E-04    0.99085E+02
    0.24754E-04    0.10313E+03
    0.25764E-04    0.10734E+03
    0.26815E-04    0.11172E+03
    0.27910E-04    0.11628E+03
    0.29049E-04    0.12102E+03
    0.30234E-04    0.12596E+03
    0.31468E-04    0.13110E+03
    0.32753E-04    0.13645E+03
    0.34089E-04    0.14202E+03
    0.35480E-04    0.14781E+03
    0.36928E-04    0.15385E+03
    0.38435E-04    0.16012E+03
    0.40004E-04    0.16666E+03
    0.41637E-04    0.17346E+03
    0.43336E-04    0.18054E+03
    0.45104E-04    0.18790E+03
    0.46945E-04    0.19557E+03
    0.48861E-04    0.20355E+03
    0.50855E-04    0.21186E+03
    0.52931E-04    0.22050E+03
    0.55091E-04    0.22950E+03
    0.57339E-04    0.23887E+03
    0.59679E-04    0.24861E+03
    0.62115E-04    0.25876E+03
    0.64649E-04    0.26931E+03
    0.67288E-04    0.28030E+03
    0.70034E-04    0.29174E+03
    0.72892E-04    0.30364E+03
    0.75867E-04    0.31603E+03
    0.78963E-04    0.32892E+03
    0.82186E-04    0.34234E+03
    0.85540E-04    0.35631E+03
    0.89031E-04    0.37084E+03
    0.92664E-04    0.38597E+03
    0.96446E-04    0.40171E+03
    0.10038E-03    0.41810E+03
    0.10448E-03    0.43515E+03
    0.10874E-03    0.45290E+03
    0.11318E-03    0.47137E+03
    0.11780E-03    0.49059E+03
    0.12261E-03    0.51060E+03
    0.12761E-03    0.53142E+03
    0.13282E-03    0.55309E+03
    0.13824E-03    0.57564E+03
    0.14388E-03    0.59911E+03
    0.14975E-03    0.62353E+03
    0.15586E-03    0.64894E+03
    0.16222E-03    0.67539E+03
    0.16884E-03    0.70291E+03
    0.17574E-03    0.73155E+03
    0.18291E-03    0.76136E+03
    0.19037E-03    0.79237E+03
    0.19814E-03    0.82464E+03
    0.20623E-03    0.85822E+03
    0.21464E-03    0.89316E+03
    0.22340E-03    0.92952E+03
    0.23252E-03    0.96735E+03
    0.24201E-03    0.10067E+04
    0.25189E-03    0.10477E+04
    0.26217E-03    0.10903E+04
    0.27287E-03    0.11346E+04
    0.28400E-03    0.11807E+04
    0.29559E-03    0.12287E+04
    0.30766E-03    0.12786E+04
    0.32021E-03    0.13305E+04
    0.33328E-03    0.13845E+04
    0.34688E-03    0.14407E+04
    0.36104E-03    0.14991E+04
    0.37577E-03    0.15599E+04
    0.39111E-03    0.16231E+04
    0.40707E-03    0.16888E+04
    0.42368E-03    0.17571E+04
    0.44097E-03    0.18282E+04
    0.45897E-03    0.19020E+04
    0.47770E-03    0.19788E+04
    0.49719E-03    0.20587E+04
    0.51748E-03    0.21417E+04
    0.53860E-03    0.22279E+04
    0.56058E-03    0.23176E+04
    0.58346E-03    0.24107E+04
    0.60727E-03    0.25075E+04
    0.63206E-03    0.26081E+04
    0.65785E-03    0.27126E+04
    0.68470E-03    0.28211E+04
    0.71264E-03    0.29338E+04
    0.74173E-03    0.30509E+04
    0.77200E-03    0.31725E+04
    0.80350E-03    0.32986E+04
    0.83629E-03    0.34296E+04
    0.87042E-03    0.35656E+04
    0.90595E-03    0.37067E+04
    0.94292E-03    0.38531E+04
    0.98140E-03    0.40049E+04
    0.10215E-02    0.41624E+04
    0.10631E-02    0.43257E+04
    0.11065E-02    0.44950E+04
    0.11517E-02    0.46705E+04
    0.11987E-02    0.48523E+04
    0.12476E-02    0.50407E+04
    0.12985E-02    0.52358E+04
    0.13515E-02    0.54378E+04
    0.14067E-02    0.56469E+04
    0.14641E-02    0.58632E+04
    0.15238E-02    0.60871E+04
    0.15860E-02    0.63186E+04
    0.16507E-02    0.65579E+04
    0.17181E-02    0.68052E+04
    0.17882E-02    0.70607E+04
    0.18612E-02    0.73244E+04
    0.19372E-02    0.75967E+04
    0.20162E-02    0.78776E+04
    0.20985E-02    0.81673E+04
    0.21841E-02    0.84659E+04
    0.22733E-02    0.87735E+04
    0.23661E-02    0.90903E+04
    0.24626E-02    0.94162E+04
    0.25631E-02    0.97515E+04
    0.26677E-02    0.10096E+05
    0.27766E-02    0.10450E+05
    0.28899E-02    0.10813E+05
    0.30078E-02    0.11186E+05
    0.31306E-02    0.11568E+05
    0.32584E-02    0.11960E+05
    0.33913E-02    0.12360E+05
    0.35297E-02    0.12770E+05
    0.36738E-02    0.13189E+05
    0.38237E-02    0.13616E+05
    0.39798E-02    0.14052E+05
    0.41422E-02    0.14495E+05
    0.43112E-02    0.14947E+05
    0.44872E-02    0.15406E+05
    0.46703E-02    0.15872E+05
    0.48609E-02    0.16345E+05
    0.50593E-02    0.16824E+05
    0.52658E-02    0.17308E+05
    0.54807E-02    0.17797E+05
    0.57043E-02    0.18289E+05
    0.59371E-02    0.18785E+05
    0.61794E-02    0.19283E+05
    0.64316E-02    0.19782E+05
    0.66941E-02    0.20282E+05
