  5.0401200000E-04 -1.8684200441E-02 -2.2415899663E-02 -8.0018308524E-03  1.5555449643E-05  3.2131082022E-06 -1.7418869586E-07  5.1392005464E-08 -1.5811306829E-07  5.4495045427E-08
  5.1419400000E-04 -1.9446408229E-02 -2.3330121558E-02 -8.3280218299E-03  1.6836886800E-05  3.4597573472E-06 -1.9891339764E-07  6.5926890123E-08 -1.6936728782E-07  5.9829937790E-08
  5.2458100000E-04 -2.0239642315E-02 -2.4281539634E-02 -8.6674712366E-03  1.8223831180E-05  3.7254750293E-06 -2.2643185594E-07  8.2818840802E-08 -1.8143785493E-07  6.5763120264E-08
  5.3517900000E-04 -2.1065310773E-02 -2.5271840584E-02 -9.0207792938E-03  1.9725246851E-05  4.0118384430E-06 -2.5701801098E-07  1.0237873754E-07 -1.9438890747E-07  7.2360315870E-08
  5.4599000000E-04 -2.1924556935E-02 -2.6302393351E-02 -9.3884327099E-03  2.1350222388E-05  4.3203578402E-06 -2.9098965494E-07  1.2499597507E-07 -2.0829524660E-07  7.9724060162E-08
  5.5702000000E-04 -2.2818883974E-02 -2.7374998249E-02 -9.7710719334E-03  2.3109209610E-05  4.6528228152E-06 -3.2870045201E-07  1.5111602933E-07 -2.2320134339E-07  8.7941259354E-08
  5.6827200000E-04 -2.3749603725E-02 -2.8491225861E-02 -1.0169255287E-02  2.5012979812E-05  5.0110494817E-06 -3.7051328657E-07  1.8116749662E-07 -2.3921879208E-07  9.7125333464E-08
  5.7975200000E-04 -2.4718324712E-02 -2.9653002341E-02 -1.0583667750E-02  2.7073754784E-05  5.3971197668E-06 -4.1684422285E-07  2.1574240093E-07 -2.5641323715E-07  1.0741294969E-07
  5.9146400000E-04 -2.5726544162E-02 -3.0862120070E-02 -1.1014946382E-02  2.9304344015E-05  5.8131655032E-06 -4.6815733311E-07  2.5545301158E-07 -2.7485910486E-07  1.1893791914E-07
  6.0341200000E-04 -2.6775809832E-02 -3.2120431733E-02 -1.1463749543E-02  3.1718596916E-05  6.2615349395E-06 -5.2493404286E-07  3.0097376352E-07 -2.9464300265E-07  1.3184973090E-07
  6.1560200000E-04 -2.7867902339E-02 -3.3430068944E-02 -1.1930834849E-02  3.4331944494E-05  6.7448720081E-06 -5.8771264045E-07  3.5312314567E-07 -3.1580948145E-07  1.4630759486E-07
  6.2803800000E-04 -2.9004485507E-02 -3.4793022890E-02 -1.2416909581E-02  3.7160566531E-05  7.2658620730E-06 -6.5707265627E-07  4.1277237343E-07 -3.3850369784E-07  1.6254483746E-07
  6.4072500000E-04 -3.0187372409E-02 -3.6211463353E-02 -1.2922744446E-02  4.0222180007E-05  7.8274351023E-06 -7.3368411367E-07  4.8094483250E-07 -3.6279173729E-07  1.8077767278E-07
  6.5366900000E-04 -3.1418536228E-02 -3.7687751693E-02 -1.3449178183E-02  4.3536193495E-05  8.4328469111E-06 -8.1824617547E-07  5.5873829258E-07 -3.8879918806E-07  2.0126346895E-07
