  1.1910600000E-03  3.1099695733E-03 -6.0530799574E-02 -5.4938599140E-02 -6.0139317639E-02 -5.7657086778E-02
  1.2151200000E-03  3.3076257346E-03 -6.4153882223E-02 -5.8217044985E-02 -6.3731172929E-02 -6.1101961425E-02
  1.2396700000E-03  3.5179385521E-03 -6.7992853893E-02 -6.1690121654E-02 -6.7536452244E-02 -6.4751658557E-02
  1.2647100000E-03  3.7415734042E-03 -7.2057362033E-02 -6.5366442854E-02 -7.1564625889E-02 -6.8615280115E-02
  1.2902600000E-03  3.9795277758E-03 -7.6363741861E-02 -6.9260716529E-02 -7.5831809418E-02 -7.2708311862E-02
  1.3163300000E-03  4.2326616377E-03 -8.0924587987E-02 -7.3384189741E-02 -8.0350375737E-02 -7.7042639130E-02
  1.3429200000E-03  4.5019033675E-03 -8.5754469334E-02 -7.7749947221E-02 -8.5134673245E-02 -8.1632054499E-02
  1.3700500000E-03  4.7883079349E-03 -9.0869114645E-02 -8.2372064992E-02 -9.0200159345E-02 -8.6491417627E-02
  1.3977200000E-03  5.0929358929E-03 -9.6284789969E-02 -8.7265118793E-02 -9.5562845460E-02 -9.1636110176E-02
  1.4259600000E-03  5.4170797789E-03 -1.0202099312E-01 -9.2446581816E-02 -1.0124189679E-01 -9.7084565270E-02
  1.4547700000E-03  5.7618651397E-03 -1.0809391178E-01 -9.7930896685E-02 -1.0725320394E-01 -1.0285205399E-01
  1.4841500000E-03  6.1285504552E-03 -1.1452268848E-01 -1.0373522514E-01 -1.1361559416E-01 -1.0895668127E-01
  1.5141400000E-03  6.5187454858E-03 -1.2133098012E-01 -1.0988073708E-01 -1.2035229188E-01 -1.1542079431E-01
  1.5447200000E-03  6.9336841463E-03 -1.2853679666E-01 -1.1638352319E-01 -1.2748098803E-01 -1.2226139871E-01
  1.5759300000E-03  7.3751901589E-03 -1.3616607067E-01 -1.2326670773E-01 -1.3502712103E-01 -1.2950294825E-01
  1.6077600000E-03  7.8447179536E-03 -1.4424015918E-01 -1.3054942354E-01 -1.4301165094E-01 -1.3716563325E-01
  1.6402400000E-03  8.3442654061E-03 -1.5278785107E-01 -1.3825738553E-01 -1.5146282831E-01 -1.4527662817E-01
  1.6733800000E-03  8.8757145454E-03 -1.6183560500E-01 -1.4641418210E-01 -1.6040659114E-01 -1.5386088280E-01
  1.7071800000E-03  9.4408770201E-03 -1.7140824671E-01 -1.5504192033E-01 -1.6986724214E-01 -1.6294179278E-01
  1.7416700000E-03  1.0042187477E-02 -1.8154077301E-01 -1.6417186533E-01 -1.7987911628E-01 -1.7255239608E-01
  1.7768600000E-03  1.0681886790E-02 -1.9226414800E-01 -1.7383161390E-01 -1.9047253524E-01 -1.8272188793E-01
