  1.7768600000E-03 -1.3234161249E-01 -2.4820607241E-01 -1.1537286239E-01
  1.8127500000E-03 -1.4010672366E-01 -2.6279869185E-01 -1.2216425755E-01
  1.8493700000E-03 -1.4831924106E-01 -2.7823448113E-01 -1.2934875514E-01
  1.8867300000E-03 -1.5700480638E-01 -2.9456193372E-01 -1.3694901475E-01
  1.9248400000E-03 -1.6618886128E-01 -3.1182921459E-01 -1.4498755660E-01
  1.9637300000E-03 -1.7590145738E-01 -3.3009321769E-01 -1.5349098265E-01
  2.0034000000E-03 -1.8616800292E-01 -3.4940212646E-01 -1.6248184635E-01
  2.0438700000E-03 -1.9702046188E-01 -3.6981648585E-01 -1.7198846645E-01
  2.0851600000E-03 -2.0849473608E-01 -3.9140425597E-01 -1.8204261773E-01
  2.1272800000E-03 -2.2061903494E-01 -4.1421908528E-01 -1.9266945642E-01
  2.1702600000E-03 -2.3343568025E-01 -4.3834111325E-01 -2.0390646022E-01
  2.2141000000E-03 -2.4698015584E-01 -4.6383766154E-01 -2.1578515162E-01
  2.2588300000E-03 -2.6129153275E-01 -4.9078299580E-01 -2.2834034419E-01
  2.3044600000E-03 -2.7640910346E-01 -5.1925177917E-01 -2.4160703204E-01
  2.3510100000E-03 -2.9238058120E-01 -5.4933453971E-01 -2.5562760609E-01
  2.3985000000E-03 -3.0925348493E-01 -5.8112154334E-01 -2.7044436438E-01
  2.4469600000E-03 -3.2707448714E-01 -6.1470170807E-01 -2.8609905194E-01
  2.4963900000E-03 -3.4589440377E-01 -6.5017157118E-01 -3.0263691193E-01
  2.5468200000E-03 -3.6576797151E-01 -6.8763534871E-01 -3.2010685324E-01
  2.5982700000E-03 -3.8675210723E-01 -7.2720139910E-01 -3.3855972753E-01
  2.6507600000E-03 -4.0890644032E-01 -7.6898331360E-01 -3.5804886450E-01
  2.7043100000E-03 -4.3229347672E-01 -8.1310021236E-01 -3.7863020431E-01
  2.7589400000E-03 -4.5697375483E-01 -8.5966773009E-01 -4.0035812844E-01
  2.8146700000E-03 -4.8302036408E-01 -9.0882507697E-01 -4.2329798872E-01
  2.8715300000E-03 -5.1050486596E-01 -9.6070893890E-01 -4.4751406536E-01
  2.9295400000E-03 -5.3950733874E-01 -1.0154720756E+00 -4.7307815057E-01
  2.9887200000E-03 -5.7009420003E-01 -1.0732419964E+00 -5.0005040739E-01
  3.0491000000E-03 -6.0236467353E-01 -1.1342077364E+00 -5.2851960083E-01
  3.1106900000E-03 -6.3639231061E-01 -1.1985105252E+00 -5.5855238135E-01
  3.1735300000E-03 -6.7227877456E-01 -1.2663445945E+00 -5.9024011184E-01
  3.2376400000E-03 -7.1010991633E-01 -1.3378748380E+00 -6.2366062400E-01
  3.3030500000E-03 -7.5000446804E-01 -1.4133280420E+00 -6.5892060233E-01
  3.3697700000E-03 -7.9203279915E-01 -1.4928408427E+00 -6.9608498951E-01
  3.4378500000E-03 -8.3633735885E-01 -1.5766852973E+00 -7.3528175328E-01
  3.5073000000E-03 -8.8302472281E-01 -1.6650660309E+00 -7.7660744975E-01
  3.5781500000E-03 -9.3219673971E-01 -1.7581800412E+00 -8.2015549866E-01
  3.6504300000E-03 -9.8399979769E-01 -1.8563078836E+00 -8.6605818305E-01
  3.7241700000E-03 -1.0385448241E+00 -1.9596644665E+00 -9.1441752457E-01
  3.7994100000E-03 -1.0960027995E+00 -2.0685771484E+00 -9.6538774834E-01
  3.8761600000E-03 -1.1564792875E+00 -2.1832512032E+00 -1.0190665143E+00
  3.9544600000E-03 -1.2201411647E+00 -2.3040082226E+00 -1.0756060267E+00
  4.0343500000E-03 -1.2871389317E+00 -2.4311397157E+00 -1.1351446776E+00
  4.1158500000E-03 -1.3576264526E+00 -2.5649431954E+00 -1.1978235340E+00
  4.1989900000E-03 -1.4317895270E+00 -2.7057765109E+00 -1.2638118386E+00
  4.2838200000E-03 -1.5098013902E+00 -2.8539769095E+00 -1.3332702839E+00
  4.3703600000E-03 -1.5918318213E+00 -3.0098744741E+00 -1.4063559866E+00
  4.4586500000E-03 -1.6780666600E+00 -3.1738295812E+00 -1.4832401017E+00
  4.5487200000E-03 -1.7687361775E+00 -3.3462872365E+00 -1.5641336489E+00
  4.6406100000E-03 -1.8640073438E+00 -3.5275767909E+00 -1.6491949064E+00
  4.7343500000E-03 -1.9640856171E+00 -3.7180992100E+00 -1.7386152228E+00
  4.8299900000E-03 -2.0692737838E+00 -3.9184360278E+00 -1.8326690606E+00
  4.9275700000E-03 -2.1797190774E+00 -4.1288851979E+00 -1.9315020327E+00
  5.0271100000E-03 -2.2956581546E+00 -4.3499094579E+00 -2.0353353042E+00
  5.1286600000E-03 -2.4174015457E+00 -4.5821086564E+00 -2.1444530724E+00
  5.2322700000E-03 -2.5451545366E+00 -4.8258925852E+00 -2.2590538347E+00
  5.3379700000E-03 -2.6792183660E+00 -5.0818506155E+00 -2.3794195214E+00
  5.4458000000E-03 -2.8198210955E+00 -5.3504342326E+00 -2.5057674736E+00
  5.5558200000E-03 -2.9672778404E+00 -5.6322609025E+00 -2.6383931269E+00
  5.6680500000E-03 -3.1218563939E+00 -5.9278647407E+00 -2.7775553450E+00
  5.7825500000E-03 -3.2839023420E+00 -6.2379237426E+00 -2.9235788172E+00
  5.8993700000E-03 -3.4536841260E+00 -6.5629713283E+00 -3.0767208976E+00
  6.0185400000E-03 -3.6315347994E+00 -6.9036726354E+00 -3.2373043864E+00
  6.1401200000E-03 -3.8177813740E+00 -7.2606786343E+00 -3.4056440359E+00
  6.2641600000E-03 -4.0127662612E+00 -7.6346648396E+00 -3.5820642328E+00
  6.3907100000E-03 -4.2168750413E+00 -8.0264068181E+00 -3.7669432738E+00
  6.5198100000E-03 -4.4303692162E+00 -8.4364393037E+00 -3.9605440887E+00
  6.6515200000E-03 -4.6536887687E+00 -8.8656267043E+00 -4.1632807495E+00
  6.7858900000E-03 -4.8871723232E+00 -9.3146703045E+00 -4.3755018947E+00
  6.9229700000E-03 -5.1312510771E+00 -9.7844277169E+00 -4.5976219720E+00
  7.0628200000E-03 -5.3862502286E+00 -1.0275561169E+01 -4.8299655458E+00
  7.2055000000E-03 -5.6526018497E+00 -1.0788960880E+01 -5.0729739284E+00
  7.3510600000E-03 -5.9306533371E+00 -1.1325333027E+01 -5.3269927648E+00
  7.4995600000E-03 -6.2209812142E+00 -1.1885824913E+01 -5.5925772072E+00
  7.6510700000E-03 -6.5237441490E+00 -1.2470836171E+01 -5.8699482091E+00
  7.8056300000E-03 -6.8396062297E+00 -1.3081657133E+01 -6.1597189939E+00
  7.9633100000E-03 -7.1687982312E+00 -1.3718826303E+01 -6.4621761618E+00
  8.1241800000E-03 -7.5116456654E+00 -1.4383067326E+01 -6.7776951971E+00
  8.2883000000E-03 -7.8690703719E+00 -1.5076138929E+01 -7.1071005733E+00
  8.4557400000E-03 -8.2411390607E+00 -1.5798329205E+01 -7.4505841427E+00
  8.6265600000E-03 -8.6281399006E+00 -1.6550278898E+01 -7.8084772009E+00
  8.8008200000E-03 -9.0308317818E+00 -1.7333478699E+01 -8.1814935534E+00
  8.9786100000E-03 -9.4492894888E+00 -1.8148260571E+01 -8.5698557621E+00
  9.1599900000E-03 -9.8843053404E+00 -1.8996176921E+01 -8.9743054986E+00
  9.3450400000E-03 -1.0336014737E+01 -1.9877639359E+01 -9.3950887097E+00
  9.5338200000E-03 -1.0804597792E+01 -2.0793181296E+01 -9.8325230238E+00
  9.7264100000E-03 -1.1291190162E+01 -2.1744943379E+01 -1.0287601081E+01
  9.9229000000E-03 -1.1795461262E+01 -2.2732606793E+01 -1.0760284288E+01
  1.0123400000E-02 -1.2317935390E+01 -2.3757281411E+01 -1.1251129904E+01
  1.0327900000E-02 -1.2859215729E+01 -2.4820201585E+01 -1.1760745942E+01
  1.0536500000E-02 -1.3418697072E+01 -2.5920559652E+01 -1.2288875767E+01
  1.0749300000E-02 -1.3998022102E+01 -2.7061428199E+01 -1.2836936906E+01
  1.0966500000E-02 -1.4596508053E+01 -2.8241938862E+01 -1.3404675122E+01
  1.1188000000E-02 -1.5214446164E+01 -2.9462762006E+01 -1.3992445491E+01
  1.1414100000E-02 -1.5853035467E+01 -3.0726315697E+01 -1.4601425568E+01
  1.1644600000E-02 -1.6509775288E+01 -3.2028314591E+01 -1.5229775945E+01
  1.1879900000E-02 -1.7188325986E+01 -3.3375621727E+01 -1.5880673181E+01
  1.2119900000E-02 -1.7885885884E+01 -3.4763461980E+01 -1.6552076863E+01
  1.2364700000E-02 -1.8603282220E+01 -3.6193589983E+01 -1.7244872914E+01
  1.2614500000E-02 -1.9341448500E+01 -3.7667908216E+01 -1.7959993220E+01
  1.2869300000E-02 -2.0097480512E+01 -3.9181621126E+01 -1.8695453011E+01
  1.3129300000E-02 -2.0875252465E+01 -4.0741749662E+01 -1.9454410624E+01
  1.3394500000E-02 -2.1670409616E+01 -4.2340958923E+01 -2.0233770476E+01
  1.3665100000E-02 -2.2484826783E+01 -4.3982877039E+01 -2.1035251673E+01
  1.3941200000E-02 -2.3318091183E+01 -4.5667005406E+01 -2.1858719468E+01
  1.4222800000E-02 -2.4167013337E+01 -4.7388109009E+01 -2.2702022540E+01
